is_a,category,description
overlaps,has part,holds between wholes and their parts (material entities or processes)
has part,has plasma membrane part,Holds between a cell c and a protein complex or protein p if and only if that cell has as part a plasma_membrane[GO:0005886]  and that plasma membrane has p as part.
related to,composed primarily of,x composed_primarily_of_y if:more than half of the mass of x is made from parts of y.
related to,primarily composed of, 
part of,plasma membrane part of, 
overlaps,part of,holds between parts and wholes (material entities or processes)
has participant,has input,holds between a process and a continuant  where the continuant is an input into the process
participates in,is input of, 
has participant,has output,holds between a process and a continuant  where the continuant is an output of the process
participates in,is output of, 
related to at instance level,has participant,holds between a process and a continuant  where the continuant is somehow involved in the process
participates in,catalyzes, 
has participant,has catalyst, 
has participant,has substrate, 
participates in,is substrate of, 
related to at instance level,participates in,holds between a continuant and a process  where the continuant is somehow involved in the process
participates in,involved in,holds between a continuant and a process or function  where the continuant actively contributes to part or all of the process or function it realizes
participates in,actively involved in,holds between a continuant and a process or function  where the continuant actively contributes to part or all of the process or function it realizes
has participant,actively involves, 
actively involved in,capable of,holds between a physical entity and process or function  where the continuant alone has the ability to carry out the process or function.
actively involves,can be carried out by, 
participates in,enables,holds between a physical entity and a process  where the physical entity executes the process
has participant,enabled by,holds between a process and a physical entity  where the physical entity executes the process
related to at instance level,is normal cell origin of disease,holds between two distinct material entities  the old entity and the new entity  in which the new entity begins to exist when the old entity ceases to exist  and the new entity inherits the significant portion of the matter of the old entity
related to at instance level,may be normal cell origin of disease,holds between two distinct material entities  the old entity and the new entity  in which the new entity begins to exist when the old entity ceases to exist  and the new entity inherits the significant portion of the matter of the old entity
related to at instance level,derives into,holds between two distinct material entities  the old entity and the new entity  in which the new entity begins to exist when the old entity ceases to exist  and the new entity inherits the significant portion of the matter of the old entity
related to at instance level,derives from,holds between two distinct material entities  the new entity and the old entity  in which the new entity begins to exist when the old entity ceases to exist  and the new entity inherits the significant portion of the matter of the old entity
derives from,is metabolite of,holds between two molecular entities in which the first one is derived from the second one as a product of metabolism
derives into,has metabolite,holds between two molecular entities in which the second one is derived from the first one as a product of metabolism
part of,food component of,holds between a one or more chemical entities present in food  irrespective of nutritional value (i.e. could also be a contaminant or additive)
has part,has food component,holds between food and one or more chemical entities composing it  irrespective of nutritional value (i.e. could also be a contaminant or additive)
food component of,nutrient of,holds between a one or more chemical entities present in food  irrespective of nutritional value (i.e. could also be a contaminant or additive)
has food component,has nutrient,one or more nutrients which are growth factors for a living organism
part of,is active ingredient of,holds between a molecular entity and a drug  in which the former is a part of the latter  and is a biologically active component
has part,has active ingredient,holds between a drug and a molecular entity in which the latter is a part of the former  and is a biologically active component
part of,is excipient of,holds between a molecular entity and a drug in which the former is a part of the latter  and is a biologically inactive component
has part,has excipient,holds between a drug and a molecular entities in which the latter is a part of the former  and is a biologically inactive component
related to at instance level,manifestation of,that part of a phenomenon which is directly observable or visibly expressed  or which gives evidence to the underlying process; used in SemMedDB for linking things like dysfunctions and processes to some disease or syndrome
related to at instance level,has manifestation, 
manifestation of,mode of inheritance of, 
has manifestation,has mode of inheritance,Relates a disease or phenotypic feature to its observed genetic segregation and assumed associated underlying DNA manifestation (i.e. autosomal  sex or mitochondrial chromosome).
related to at instance level,produces,holds between a material entity and a product that is generated through the intentional actions or functioning of the material entity
related to at instance level,produced by, 
has input,consumes, 
is input of,consumed by, 
related to at instance level,temporally related to,holds between two entities with a temporal relationship
temporally related to,precedes,holds between two processes  where one completes before the other begins
temporally related to,preceded by,holds between two processes  where the other is completed before the one begins
has part,has variant part,holds between a nucleic acid entity and a nucleic acid entity that is a sub-component of it
part of,variant part of, 
related to at instance level,related condition, 
related to at instance level,gene product sequence variation encoded by gene mutant,holds between a sequence variant and a nucleic acid entity
related to at instance level,allelic variant of,holds between a sequence variant and a nucleic acid entity
related to at instance level,gene product variant of gene product,holds between a sequence variant and a nucleic acid entity
related to at instance level,is sequence variant of,holds between a sequence variant and a nucleic acid entity
related to at instance level,has sequence variant, 
is sequence variant of,is missense variant of,holds between a gene  and a sequence variant  such the sequence variant results in a different amino acid sequence but where the length is preserved.
has sequence variant,has missense variant, 
is sequence variant of,is synonymous variant of,holds between a sequence variant and a gene  such the sequence variant is in the coding sequence of the gene  but results in the same amino acid sequence
has sequence variant,stop gained, 
has sequence variant,has synonymous variant, 
is sequence variant of,is nonsense variant of,holds between a sequence variant and a gene  such the sequence variant results in a premature stop codon
has sequence variant,has nonsense variant, 
is sequence variant of,frameshift variant,holds between a sequence variant and a gene  such the sequence variant causes a disruption of the translational reading frame  because the number of nucleotides inserted or deleted is not a multiple of three.
is sequence variant of,start lost,holds between a sequence variant and a gene  such the sequence variant causes a disruption of the translational reading frame  because the number of nucleotides inserted or deleted is not a multiple of three.
is sequence variant of,stop lost,holds between a sequence variant and a gene  such the sequence variant causes a disruption of the translational reading frame  because the number of nucleotides inserted or deleted is not a multiple of three.
is sequence variant of,is frameshift variant of,holds between a sequence variant and a gene  such the sequence variant causes a disruption of the translational reading frame  because the number of nucleotides inserted or deleted is not a multiple of three.
has sequence variant,splice region variant, 
has sequence variant,splice acceptor variant, 
has sequence variant,splice donor variant, 
has sequence variant,has frameshift variant, 
is sequence variant of,is splice site variant of,holds between a sequence variant and a gene  such the sequence variant is in the canonical splice site of one of the gene's exons.
has sequence variant,downstream gene variant, 
has sequence variant,upstream gene variant, 
has sequence variant,has splice site variant, 
is sequence variant of,is nearby variant of,holds between a sequence variant and a gene sequence that the variant is genomically close to.
has sequence variant,intron variant, 
has sequence variant,3 prime UTR variant, 
has sequence variant,5 prime UTR variant, 
has sequence variant,5 prime UTR premature start codon gain variant, 
has sequence variant,non coding transcript exon variant, 
has sequence variant,has nearby variant, 
is sequence variant of,is non coding variant of,holds between a sequence variant and a gene  where the variant does not affect the coding sequence
has sequence variant,has non coding variant, 
related to at instance level,disease has basis in,A relation that holds between a disease and an entity where the state of the entity has contribution to the disease.
related to at instance level,occurs in disease, 
affects,adverse effect,An untoward medical occurrence in a patient or clinical investigation subject that happens during treatment  with a therapeutic agent. Adverse events may be caused by something  other than the drug or therapy being given and may include abnormal laboratory finding  symptoms  or  diseases temporally associated with the treatment  whether or not considered related to the treatment.  Adverse events are unintended effects that occur when a medication is administered correctly.
affects,has adverse event,An untoward medical occurrence in a patient or clinical investigation subject that happens during treatment  with a therapeutic agent. Adverse events may be caused by something  other than the drug or therapy being given and may include abnormal laboratory finding  symptoms  or  diseases temporally associated with the treatment  whether or not considered related to the treatment.  Adverse events are unintended effects that occur when a medication is administered correctly.
affected by,adverse event of, 
affects,adverse drug reaction,An unintended  but predictable  secondary effect shown to be correlated with a therapeutic agent  drug or treatment. Side effects happen at normal  recommended doses or treatments  and are unrelated to the intended purpose of  the medication.
affects,has side effect,An unintended  but predictable  secondary effect shown to be correlated with a therapeutic agent  drug or treatment. Side effects happen at normal  recommended doses or treatments  and are unrelated to the intended purpose of  the medication.
affected by,is side effect of, 
related to at instance level,contraindicated for,Holds between a drug and a disease or phenotype  such that a person with that disease should not be treated with the drug.
related to at instance level,has contraindication, 
related to at instance level,has not completed,holds between an entity and a process that the entity is capable of  but has not completed
related to at instance level,not completed by, 
related to at instance level,has completed,holds between an entity and a process that the entity is capable of and has completed
related to at instance level,completed by, 
related to at instance level,in linkage disequilibrium with,holds between two sequence variants  the presence of which are correlated in a population
related to at instance level,has increased amount, 
related to at instance level,increased amount of, 
related to at instance level,has decreased amount, 
related to at instance level,decreased amount in, 
related to at instance level,lacks part, 
related to at instance level,missing from, 
related to at instance level,develops from, 
related to at instance level,develops into, 
related to at instance level,instance of,connects an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
related to at instance level,is organism source of gene product,connects an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
related to at instance level,organism has gene,connects an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
related to at instance level,gene found in organism,connects an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
related to at instance level,gene product has organism source,connects an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
related to at instance level,in taxon,connects an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
node property,in taxon label,The human readable scientific name for the taxon of the entity.
related to at instance level,taxon of, 
related to at instance level,allele has activity,connects a sequence variant to a class describing the molecular consequence. E.g.  SO:0001583
related to at instance level,has molecular consequence,connects a sequence variant to a class describing the molecular consequence. E.g.  SO:0001583
related to at instance level,is molecular consequence of, 
 ,edge property,any slot that relates an association to another entity
 ,statement property,any slot that relates an association to another entity
 ,node qualifier,any slot that relates an association to another entity
 ,edge qualifier,any slot that relates an association to another entity
 ,statement qualifier,any slot that relates an association to another entity
 ,association slot,any slot that relates an association to another entity
association slot,original subject,used to hold the original subject of a relation (or predicate) that an external knowledge source uses before transformation to match the biolink-model specification.
association slot,original object,used to hold the original object of a relation (or predicate) that an external knowledge source uses before transformation to match the biolink-model specification.
association slot,original relation,used to hold the original relation/predicate that an external knowledge source uses before transformation to match the biolink-model specification.
association slot,relation,used to hold the original relation/predicate that an external knowledge source uses before transformation to match the biolink-model specification.
association slot,original predicate,used to hold the original relation/predicate that an external knowledge source uses before transformation to match the biolink-model specification.
association slot,subject closure,Used to hold the subject closure of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,object closure,Used to hold the object closure of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,subject category,Used to hold the biolink class/category of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,object category,Used to hold the biolink class/category of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,subject category closure,Used to hold the subject category closure of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,object category closure,Used to hold the object category closure of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,subject label closure,Used to hold the subject label closure of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,object label closure,Used to hold the object label closure of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,subject prefix,Used to hold the subject namespace of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,subject namespace,Used to hold the subject namespace of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,object prefix,Used to hold the object namespace of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,object namespace,Used to hold the object namespace of an association. This is a denormalized  field used primarily in the SQL serialization of a knowledge graph via KGX.
association slot,subject,connects an association to the subject of the association. For example  in a gene-to-phenotype association  the gene is subject and phenotype is object.
association slot,object,connects an association to the object of the association. For example  in a gene-to-phenotype association  the gene is subject and phenotype is object.
association slot,predicate,A high-level grouping for the relationship type. AKA minimal predicate. This is analogous to category for nodes.
association slot,logical interpretation, 
 ,relation, 
association slot,negated,if set to true  then the association is negated i.e. is not true
association slot,has confidence level,connects an association to a qualitative term denoting the level of confidence
association slot,has evidence,connects an association to an instance of supporting evidence
association slot,has supporting study result,connects an association to an instance of supporting study result
association slot,log odds ratio,The logarithm of the odds ratio  or the ratio of the odds of event Y occurring in an exposed group versus the  odds of event Y occurring in a non-exposed group.
association slot,log odds ratio 95 ci,The ninety-five percent confidence range in which the true log odds ratio for the sample population falls.
dataset count,total sample size,The total number of patients or participants within a sample population.
association slot,mechanism of action,a boolean flag to indicate if the edge is part of a path or subgraph of a knowledge graph that constitutes the mechanism of action for a result.
association slot,knowledge source,An Information Resource from which the knowledge expressed in an Association was retrieved  directly or indirectly. This can be any resource through which the knowledge passed on its way to its currently serialized form. In practice  implementers should use one of the more specific subtypes of this generic property.
node property,provided by,The value in this node property represents the knowledge provider that created or assembled the node and all of its attributes.  Used internally to represent how a particular node made its way into a knowledge provider or graph.
knowledge source,primary knowledge source,"The most upstream source of the knowledge expressed in an Association that an implementer can identify.  Performing a rigorous analysis of upstream data providers is expected; every effort is made to catalog the most upstream source of data in this property.  Only one data source should be declared primary in any association.  ""aggregator knowledge source"" can be used to capture non-primary sources."
knowledge source,aggregator knowledge source,An intermediate aggregator resource from which knowledge expressed in an Association was retrieved downstream of the original source  on its path to its current serialized form.
association slot,supporting data source,An Information Resource from which data was retrieved and subsequently used as evidence to generate the knowledge expressed in an Association (e.g. through computation on  reasoning or inference over the retrieved data).
association slot,supporting data set,A set of data used as evidence to generate the knowledge expressed in an Association (e.g. through computation on  reasoning or inference over the retrieved data).
association slot,chi squared statistic,represents the chi-squared statistic computed from observations
association slot,unadjusted p value,A quantitative confidence value that represents the probability of obtaining a result at least as extreme as that actually obtained  assuming that the actual value was the result of chance alone.
association slot,p value,A quantitative confidence value that represents the probability of obtaining a result at least as extreme as that actually obtained  assuming that the actual value was the result of chance alone.
association slot,evidence count,The number of evidence instances that are connected to an association.
association slot,dataset count,The total number of instances (e.g.  number of patients  number of rows  etc) in a dataset/cohort.
association slot,concept count subject,The number of instances in a dataset/cohort whose records contain the concept in the subject slot of an association.
association slot,concept count object,The number of instances in a dataset/cohort whose records contain the concept in the object slot of an association.
association slot,concept pair count,The number of instances in a dataset/cohort whose records contain both the subject and object concept of an association.
association slot,expected count,The expected (calculated) number of instances in a dataset/cohort whose records contain both the subject and  object concept of an association if the subject and object concepts are independent.
association slot,relative frequency subject,The frequency at which subject and object concepts co-occur in  records within a dataset/cohort  relative to the frequency at which the subject concept appears in these same records.
association slot,relative frequency object,The frequency at which subject and object concepts co-occur in  records within a dataset/cohort  relative to the frequency at which the object concept appears in these same records.
association slot,relative frequency subject confidence interval,The 99% confidence interval for the relative_frequency_subject calculation (i.e. the range of values within which the true value has a 99% chance of falling)
association slot,relative frequency object confidence interval,The 99% confidence interval for the relative_frequency_object calculation (i.e. the range of values within which the true value has a 99% chance of falling)
p value,adjusted p value,The adjusted p-value is the probability of obtaining test results at least as extreme as the results actually observed  under the assumption that the null hypothesis is correct  adjusted for multiple comparisons.   P is always italicized and capitalized. The actual P value* should be expressed (P=. 04)  rather than expressing a statement of inequality (P<. 05)  unless P<.
adjusted p value,bonferonni adjusted p value,The Bonferroni correction is an adjustment made to P values when several dependent or independent  statistical tests are being performed simultaneously on a single data set. To perform a Bonferroni  correction  divide the critical P value (α) by the number of comparisons being made.  P is always italicized and  capitalized. The actual P value* should be expressed (P=. 04) rather than expressing a statement of inequality  (P<. 05)  unless P<.
association slot,supporting text,The segment of text from a document that supports the mined assertion.
association slot,supporting documents,One or more referenceable documents that report the statement expressed in an Association  or provide  information used as evidence supporting this statement.
association slot,subject location in text,Character offsets for the text span(s) in the supporting text corresponding to the subject concept of the extracted assertion.
association slot,object location in text,Character offsets for the text span(s) in the supporting text corresponding to the object concept of the extracted assertion
association slot,extraction confidence score,A quantitative confidence value that represents the probability of obtaining a result at least as extreme as that actually obtained  assuming that the actual value was the result of chance alone.
association slot,supporting document type,The document type (e.g.  Journal Article  Case Study  Preprint) for the supporting document used in a Text Mining Result.
association slot,supporting document year,The document year (typically the publication year) for the supporting document used in a Text Mining Result.
association slot,supporting text section type,The section of the supporting text of a Text Mining Result within the supporting document. This is in the form of the name of the document section (e.g.  Abstract  Introduction) that contains the supporting text.
association slot,ln ratio,the natural log of the ratio of co-occurrence to expected
association slot,ln ratio confidence interval,The 99% confidence interval for the ln_ratio calculation (i.e. the range of values within which the true value has a 99% chance of falling)
association slot,interacting molecules category, 
association slot,expression site,location in which gene or protein expression takes place. May be cell  tissue  or organ.
association slot,phenotypic state,in experiments (e.g. gene expression) assaying diseased or unhealthy tissue  the phenotypic state can be put here  e.g. MONDO ID. For healthy tissues  use XXX.
association slot,supporting publications,One or more publications that report the statement expressed in an  Association  or provide information used as evidence supporting this statement.
association slot,supporting documents,One or more publications that report the statement expressed in an  Association  or provide information used as evidence supporting this statement.
association slot,publications,One or more publications that report the statement expressed in an  Association  or provide information used as evidence supporting this statement.
association slot,associated environmental context,An attribute that can be applied to an association where the association holds between two entities located or occurring in a particular environment. For example  two microbial taxa may interact in the context of a human gut; a disease may give rise to a particular phenotype in a particular environmental exposure.  # TODO: add examples of values for this property.
association slot,sequence localization attribute,An attribute that can be applied to a genome sequence localization edge. These edges connect a nucleic acid entity such as an exon to an entity such as a chromosome. Edge properties are used to ascribe specific positional information and other metadata to the localization. In pragmatic terms this can be thought of as columns in a GFF3 line.
sequence localization attribute,zero-based,A position in interbase coordinates. Interbase coordinates start at position 0 instead of position 1. This is applied to a sequence localization edge.
sequence localization attribute,half-open,A position in interbase coordinates. Interbase coordinates start at position 0 instead of position 1. This is applied to a sequence localization edge.
sequence localization attribute,space-based,A position in interbase coordinates. Interbase coordinates start at position 0 instead of position 1. This is applied to a sequence localization edge.
sequence localization attribute,interbase coordinate,A position in interbase coordinates. Interbase coordinates start at position 0 instead of position 1. This is applied to a sequence localization edge.
interbase coordinate,start interbase coordinate,The position at which the subject nucleic acid entity starts on the chromosome or other entity to which it is located on. (ie: the start of the sequence being referenced is 0).
interbase coordinate,end interbase coordinate,The position at which the subject nucleic acid entity ends on the chromosome or other entity to which it is located on.
base coordinate,start,The position at which the subject genomic entity starts on the chromosome or other entity to which it is located on. (ie: the start of the sequence being referenced is 1).
base coordinate,start coordinate,The position at which the subject genomic entity starts on the chromosome or other entity to which it is located on. (ie: the start of the sequence being referenced is 1).
base coordinate,end,The position at which the subject genomic entity ends on the chromosome or other entity to which it is located on.
base coordinate,end coordinate,The position at which the subject genomic entity ends on the chromosome or other entity to which it is located on.
sequence localization attribute,genome build,The version of the genome on which a feature is located. For example  GRCh38 for Homo sapiens.
sequence localization attribute,strand,The strand on which a feature is located. Has a value of '+' (sense strand or forward strand) or '-' (anti-sense strand or reverse strand).
sequence localization attribute,phase,The phase for a coding sequence entity. For example  phase of a CDS as represented in a GFF3 with a value of 0  1 or 2.
association slot,FDA approval status,
association slot,supporting study metadata,Information about a study used to generate information used as evidence to support the knowledge expressed in an  Association. In practice  data creators should use one of the more specific subtypes of this property.
supporting study metadata,supporting study method type,A type of method that was applied in a study used to generate the information used as evidence (e.g. a type of  experimental assay  or statistical calculation  or computational analysis).
supporting study metadata,supporting study method description,A uri or curie pointing to information about the methodology used to generate data supporting an Association.
supporting study metadata,supporting study size,The sample size used in a study that provided evidence for the association (e.g. 'n' of a cohort for a  clinical study).
supporting study metadata,supporting study cohort,A description of a study population/cohort that was interrogated to provide evidence for the association  (e.g. the inclusion and exclusion criteria).
supporting study metadata,supporting study date range,The date range over which data was collected in a study that provided evidence for an Association.
supporting study metadata,supporting study context,A term or terms describing the experimental setting/context in which evidence supporting the Association was  generated ('context' may be defined by many factors  including taxon  model system (e.g. cell line type)  tissue  type  disease  etc.).
 ,mapping collection,A collection of deprecated mappings.
 ,predicate mapping,A deprecated predicate mapping object contains the deprecated predicate and an example of the rewiring that should be done to use a qualified statement in its place.
 ,ontology class,a concept or class in an ontology  vocabulary or thesaurus. Note that nodes in a biolink compatible KG can be considered both instances of biolink classes  and OWL classes in their own right. In general you should not need to use this class directly. Instead  use the appropriate biolink class. For example  for the GO concept of endocytosis (GO:0006897)  use bl:BiologicalProcess as the type.
 ,annotation,Biolink Model root class for entity annotations.
annotation,quantity value,A value of an attribute that is quantitative and measurable  expressed as a combination of a unit and a numeric value
named thing,attribute,A property or characteristic of an entity. For example  an apple may have properties such as color  shape  age  crispiness. An environmental sample may have attributes such as depth  lat  long  material.
attribute,chemical role,	A role played by the molecular entity or part thereof within a chemical context.
attribute,biological sex, 
biological sex,phenotypic sex,An attribute corresponding to the phenotypic sex of the individual  based upon the reproductive organs present.
biological sex,genotypic sex,An attribute corresponding to the genotypic sex of the individual  based upon genotypic composition of sex chromosomes.
attribute,severity value,describes the severity of a phenotypic feature or disease
 ,relationship quantifier, 
relationship quantifier,sensitivity quantifier, 
relationship quantifier,specificity quantifier, 
specificity quantifier,pathognomonicity quantifier,A relationship quantifier between a variant or symptom and a disease  which is high when the presence of the feature implies the existence of the disease
relationship quantifier,frequency quantifier, 
 ,chemical or drug or treatment, 
 ,entity,Root Biolink Model class for all things and informational relationships  real or imagined.
entity,named thing,a databased entity or concept/class
ontology class,relationship type,An OWL property used as an edge label
ontology class,taxonomic rank,A descriptor for the rank within a taxonomic classification. Example instance: TAXRANK:0000017 (kingdom)
named thing,taxon,A classification of a set of organisms. Example instances: NCBITaxon:9606 (Homo sapiens)  NCBITaxon:2 (Bacteria). Can also be used to represent strains or subspecies.
named thing,taxonomic classification,A classification of a set of organisms. Example instances: NCBITaxon:9606 (Homo sapiens)  NCBITaxon:2 (Bacteria). Can also be used to represent strains or subspecies.
named thing,organism taxon,A classification of a set of organisms. Example instances: NCBITaxon:9606 (Homo sapiens)  NCBITaxon:2 (Bacteria). Can also be used to represent strains or subspecies.
named thing,event,Something that happens at a given place and time.
named thing,administrative entity, 
information content entity,study result,A collection of data items from a study that are about a particular study subject or experimental unit (the  'focus' of the Result) - optionally with context/provenance metadata that may be relevant to the interpretation of this data as evidence.
activity,study,a detailed investigation and/or analysis
information content entity,study variable,a variable that is used as a measure in the investigation of a study
information content entity,common data element,A Common Data Element (CDE) is a standardized  precisely defined question  paired with a set of allowable  responses  used systematically across different sites  studies  or clinical trials to ensure consistent  data collection. Multiple CDEs (from one or more Collections) can be curated into Forms.  (https://cde.nlm.nih.gov/home)
study result,concept count analysis result,A result of a concept count analysis.
study result,observed expected frequency analysis result,A result of a observed expected frequency analysis.
study result,relative frequency analysis result,A result of a relative frequency analysis.
study result,text mining result,A result of text mining.
study result,chi squared analysis result,A result of a chi squared analysis.
study result,log odds analysis result,A result of a log odds ratio analysis.
administrative entity,group,person  group  organization or project that provides a piece of information (i.e. a knowledge association)
administrative entity,agent,person  group  organization or project that provides a piece of information (i.e. a knowledge association)
named thing,information,a piece of information that typically describes some topic of discourse or is used as support.
named thing,information artefact,a piece of information that typically describes some topic of discourse or is used as support.
named thing,information entity,a piece of information that typically describes some topic of discourse or is used as support.
named thing,information content entity,a piece of information that typically describes some topic of discourse or is used as support.
information content entity,dataset,an item that refers to a collection of data from a data source.
information content entity,dataset distribution,an item that holds distribution level information about a dataset.
information content entity,dataset version,an item that holds version level information about a dataset.
information content entity,dataset summary,an item that holds summary level information about a dataset.
information content entity,confidence level,Level of confidence in a statement
information content entity,evidence code,Class of evidence that supports an association
information content entity,evidence type,Class of evidence that supports an association
information content entity,publication,Any ‘published’ piece of information. Publications are considered broadly  to include any document or document part made available in print or on the  web - which may include scientific journal issues  individual articles  and  books - as well as things like pre-prints  white papers  patents  drug  labels  web pages  protocol documents   and even a part of a publication if  of significant knowledge scope (e.g. a figure  figure legend  or section  highlighted by NLP). 
publication,book,This class may rarely be instantiated except if use cases of a given knowledge graph support its utility.
publication,book chapter, 
publication,journal,This class may rarely be instantiated except if use cases of a given knowledge graph support its utility.
publication,serial,This class may rarely be instantiated except if use cases of a given knowledge graph support its utility.
publication,article,a piece of writing on a particular topic presented as a stand-alone  section of a larger publication	  
article,journal article,an article  typically presenting results of research  that is published  in an issue of a scientific journal.
publication,patent,a legal document granted by a patent issuing authority which confers upon  the patenter the sole right to make  use and sell an invention for a set period of time. 
publication,web page,a document that is published according to World Wide Web standards  which  may incorporate text  graphics  sound  and/or other features.
publication,preprint publication,a document reresenting an early version of an author's original scholarly work   such as a research paper or a review  prior to formal peer review and publication  in a peer-reviewed scholarly or scientific journal.
publication,drug label,a document accompanying a drug or its container that provides written  printed or graphic information about the drug  including drug contents  specific instructions  or warnings for administration  storage and disposal instructions  etc. 
information content entity,retrieval source,Provides information about how a particular InformationResource served as a source from which knowledge expressed in an Edge  or data used to generate this knowledge  was retrieved.
 ,physical essence or occurrent,Either a physical or processual entity.
physical essence or occurrent,physical essence,Semantic mixin concept.  Pertains to entities that have physical properties such as mass  volume  or charge.
named thing,physical entity,An entity that has material reality (a.k.a. physical essence).
physical essence or occurrent,occurrent,A processual entity.
occurrent,activity and behavior,Activity or behavior of any independent integral living  organization or mechanical actor in the world
named thing,activity,An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming  processing  transforming  modifying  relocating  using  or generating entities.
named thing,procedure,A series of actions conducted in a certain order or manner
named thing,phenomenon,a fact or situation that is observed to exist or happen  especially one whose cause or explanation is in question
named thing,device,A thing made or adapted for a particular purpose  especially a piece of mechanical or electronic equipment
named thing,diagnostic aid,A device or substance used to help diagnose disease or injury
population of individual organisms,study population,A group of people banded together or treated as a group as participants in a research study.
 ,subject of investigation,An entity that has the role of being studied in an investigation  study  or experiment
physical entity,biospecimen,A sample is a limited quantity of something (e.g. an individual or set of individuals from a population  or a portion of a substance) to be used for testing  analysis  inspection  investigation  demonstration  or trial use. [SIO]
physical entity,sample,A sample is a limited quantity of something (e.g. an individual or set of individuals from a population  or a portion of a substance) to be used for testing  analysis  inspection  investigation  demonstration  or trial use. [SIO]
physical entity,biosample,A sample is a limited quantity of something (e.g. an individual or set of individuals from a population  or a portion of a substance) to be used for testing  analysis  inspection  investigation  demonstration  or trial use. [SIO]
physical entity,physical sample,A sample is a limited quantity of something (e.g. an individual or set of individuals from a population  or a portion of a substance) to be used for testing  analysis  inspection  investigation  demonstration  or trial use. [SIO]
physical entity,material sample,A sample is a limited quantity of something (e.g. an individual or set of individuals from a population  or a portion of a substance) to be used for testing  analysis  inspection  investigation  demonstration  or trial use. [SIO]
named thing,planetary entity,Any entity or process that exists at the level of the whole planet
planetary entity,environmental process, 
planetary entity,environmental feature, 
planetary entity,geographic location,a location that can be described in lat/long coordinates
geographic location,geographic location at time,a location that can be described in lat/long coordinates  for a particular time
 ,thing with taxon,A mixin that can be used on any entity that can be taxonomically classified. This includes individual organisms; genes  their products and other molecular entities; body parts; biological processes
named thing,bioentity, 
named thing,biological entity, 
 ,genomic entity, 
 ,epigenomic entity, 
chemical entity,molecular entity,A molecular entity is a chemical entity composed of individual or covalently bonded atoms.
named thing,chemical entity,A chemical entity is a physical entity that pertains to chemistry or biochemistry.
molecular entity,chemical substance,A small molecule entity is a molecular entity characterized by availability in small-molecule databases of SMILES  InChI  IUPAC  or other unambiguous representation of its precise chemical structure; for convenience of representation  any valid chemical representation is included  even if it is not strictly molecular (e.g.  sodium ion).
molecular entity,small molecule,A small molecule entity is a molecular entity characterized by availability in small-molecule databases of SMILES  InChI  IUPAC  or other unambiguous representation of its precise chemical structure; for convenience of representation  any valid chemical representation is included  even if it is not strictly molecular (e.g.  sodium ion).
chemical entity,chemical mixture,A chemical mixture is a chemical entity composed of two or more molecular entities.
molecular entity,sequence feature,A nucleic acid entity is a molecular entity characterized by availability in gene databases of nucleotide-based sequence representations of its precise sequence; for convenience of representation  partial sequences of various kinds are included.
molecular entity,genomic entity,A nucleic acid entity is a molecular entity characterized by availability in gene databases of nucleotide-based sequence representations of its precise sequence; for convenience of representation  partial sequences of various kinds are included.
molecular entity,nucleic acid entity,A nucleic acid entity is a molecular entity characterized by availability in gene databases of nucleotide-based sequence representations of its precise sequence; for convenience of representation  partial sequences of various kinds are included.
biological entity,regulatory element,A region (or regions) of the genome that contains known or putative regulatory elements that act in cis- or trans- to affect the transcription of gene
biological entity,regulatory region,A region (or regions) of the genome that contains known or putative regulatory elements that act in cis- or trans- to affect the transcription of gene
regulatory region,dnase-seq accessible region,A region (or regions) of a chromatinized genome that has been measured to be more accessible to an enzyme such as DNase-I or Tn5 Transpose
regulatory region,atac-seq accessible region,A region (or regions) of a chromatinized genome that has been measured to be more accessible to an enzyme such as DNase-I or Tn5 Transpose
regulatory region,accessible dna region,A region (or regions) of a chromatinized genome that has been measured to be more accessible to an enzyme such as DNase-I or Tn5 Transpose
regulatory region,tf binding site,A region (or regions) of the genome that contains a region of DNA known or predicted to bind a protein that modulates gene transcription
